,model,n_examples,task1_accuracy,soce,ece,monitoring_accuracy,monitoring_brier_score,monitoring_bias,avg_error_probability,control_rationality,final_accuracy,action_commit_rate,action_revise_rate,action_abstain_rate,action_seek_rate,pdemc_score,correction_rate
GPT-4.1-mini,GPT-4.1-mini,300,0.8,0.18062500000000004,0.3685000000000001,0.8,0.19385,0.0043333333333333,0.2043333333333333,0.48333333333333334,0.8,0.65,0.0,0.0,0.35,0.7050000000000001,
GPT-4.1,GPT-4.1,300,0.83,0.176220174816915,0.29593333333333327,0.83,0.20655266666666666,0.19446666666666665,0.36446666666666666,0.72,0.83,0.87,0.0,0.0,0.13,0.797,
Gemini-2.5-Flash,Gemini-2.5-Flash,300,0.84,-0.01210317460317456,0.09750000000000017,0.7966666666666666,0.15832599999999997,-0.04440000000000001,0.1156,0.7466666666666667,0.8233333333333334,0.8666666666666667,0.08666666666666667,0.0,0.04666666666666667,0.7956666666666667,0.6538461538461539
